,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE43,Intitulé de l'EC,LA3,Langue vivante,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,36,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,,,,M,,,,,,,,,,,,
,Capacité,"Comprendre le contenu essentiel de sujets concrets ou abstraits dans un texte complexe, y compris une discussion technique dans votre spécialité",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Mots, tournures, expressions grammaticales ",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Experession orale,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Expression écrite,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en œuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,,,,,,,,,,,,,,,,
